上市公司代码_Comcd,最新公司全称_Lcomnm,截止日期_Enddt,报表类型_Reporttype,每股净资产(元/股)_NAPS,净资产收益率(摊薄)(%)_ROE,资产报酬率(%)_ROAEBIT,投入资本回报率(%)_ROIC,成本费用利润率(%)_Totprfcostrt,营业利润率(%)_Opeprfrt
C000008,神州高铁技术股份有限公司,2012/3/31,Q1,1.0024,-0.039,-0.0467,-0.0529,-1.4732,-1.4741
C000008,神州高铁技术股份有限公司,2012/6/30,Q2,1.0035,0.0718,-0.135,-0.1529,1.4514,1.4057
C000008,神州高铁技术股份有限公司,2012/9/30,Q3,1.004,0.1165,-0.2264,-0.2564,1.6013,1.5375
C000008,神州高铁技术股份有限公司,2012/12/31,Q4,3.5627,7.235,7.9813,7.2381,18.9612,14.7898
C000008,神州高铁技术股份有限公司,2013/3/31,Q1,3.5888,0.725,0.9141,0.7791,8.3733,7.5342
C000008,神州高铁技术股份有限公司,2013/6/30,Q2,1.8161,1.9125,2.2298,2.0037,10.5146,9.0194
C000008,神州高铁技术股份有限公司,2013/9/30,Q3,1.8374,3.0519,3.6742,3.2219,11.4032,9.6379
C000008,神州高铁技术股份有限公司,2013/12/31,Q4,1.8563,4.0381,4.8876,4.148,11.8436,9.9452
C000008,神州高铁技术股份有限公司,2014/3/31,Q1,1.8721,0.8449,1.0279,0.876,10.1668,7.8702
C000008,神州高铁技术股份有限公司,2014/6/30,Q2,1.8848,1.5088,1.9995,1.5645,9.8403,8.0388
C000008,神州高铁技术股份有限公司,2014/9/30,Q3,1.8885,1.7047,2.58,1.7732,7.9944,6.7223
C000008,神州高铁技术股份有限公司,2014/12/31,Q4,1.8819,1.3595,2.9974,1.4135,6.9923,5.9544
C000008,神州高铁技术股份有限公司,2015/3/31,Q1,3.4555,2.0338,3.2221,3.3026,37.1554,22.5463
C000008,神州高铁技术股份有限公司,2015/6/30,Q2,3.4738,2.5079,4.9137,4.5415,23.327,16.2149
C000008,神州高铁技术股份有限公司,2015/9/30,Q3,1.1692,3.4012,6.5351,6.1352,20.0712,14.5223
C000008,神州高铁技术股份有限公司,2015/12/31,Q4,1.2069,6.3847,10.9867,10.6262,22.006,15.1142
C000008,神州高铁技术股份有限公司,2016/3/31,Q1,2.0297,0.2071,0.3112,0.2602,7.6711,-2.6172
C000008,神州高铁技术股份有限公司,2016/6/30,Q2,2.0415,0.745,1.0157,0.9061,10.1308,5.2722
C000008,神州高铁技术股份有限公司,2016/9/30,Q3,2.1056,3.7354,5.319,4.8877,33.1953,24.5555
C000008,神州高铁技术股份有限公司,2016/12/31,Q4,2.1762,8.537,10.8546,11.0938,45.7652,30.05
C000008,神州高铁技术股份有限公司,2017/3/31,Q1,2.1839,0.1523,0.1762,0.1619,5.7516,-2.7817
C000008,神州高铁技术股份有限公司,2017/6/30,Q2,2.1949,0.9039,1.0099,1.0114,13.8845,10.7234
C000008,神州高铁技术股份有限公司,2017/9/30,Q3,2.2148,1.9528,2.0112,2.0768,18.9553,15.4804
C000008,神州高铁技术股份有限公司,2017/12/31,Q4,2.5212,12.2973,11.0717,12.4031,55.6613,43.7721
C000008,神州高铁技术股份有限公司,2018/3/31,Q1,2.5275,0.1477,0.1653,0.1231,8.22,8.2779
C000008,神州高铁技术股份有限公司,2018/6/30,Q2,2.4974,0.8721,1.0613,0.9864,12.3286,11.7475
C000008,神州高铁技术股份有限公司,2018/9/30,Q3,2.5203,1.7395,2.0959,1.9875,16.5166,13.3182
C000008,神州高铁技术股份有限公司,2018/12/31,Q4,2.5948,4.4448,4.6568,4.6608,22.1236,16.8828
